id,original_title,tags
19995,Avatar,22nd century paraplegic Marine dispatched moon Pandora unique mission becomes torn following order protecting alien civilization Action Adventure Fantasy ScienceFiction cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d SamWorthington ZoeSaldana SigourneyWeaver StephenLang MichelleRodriguez JamesCameron
285,Pirates of the Caribbean: At World's End,Captain Barbossa long believed dead come back life headed edge Earth Turner Elizabeth Swann nothing quite seems Adventure Fantasy Action ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgård ChowYunfat GoreVerbinski
206647,Spectre,cryptic message Bonds past sends trail uncover sinister organization battle political force keep secret service alive Bond peel back layer deceit reveal terrible truth behind SPECTRE Action Adventure Crime spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom DanielCraig ChristophWaltz LéaSeydoux RalphFiennes MonicaBellucci SamMendes
49026,The Dark Knight Rises,Following death District Attorney Harvey Dent Batman assumes responsibility Dent 's crime protect late attorney 's reputation subsequently hunted Gotham City Police Department Eight year later Batman encounter mysterious Selina Kyle villainous Bane new terrorist leader overwhelms Gotham 's finest Dark Knight resurfaces protect city branded enemy Action Crime Drama Thriller dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante coverup superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman ChristianBale MichaelCaine GaryOldman AnneHathaway TomHardy ChristopherNolan
49529,John Carter,John Carter warweary former military captain who 's inexplicably transported mysterious exotic planet Barsoom ( Mars ) reluctantly becomes embroiled epic conflict world brink collapse Carter rediscovers humanity realizes survival Barsoom people rest hand Action Adventure ScienceFiction basedonnovel mar medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d TaylorKitsch LynnCollins SamanthaMorton WillemDafoe ThomasHadenChurch AndrewStanton
559,Spider-Man 3,seemingly invincible SpiderMan go allnew crop villain including shapeshifting Sandman SpiderMans superpower altered alien organism alter ego Peter Parker deal nemesis Eddie Brock also get caught love triangle Fantasy Action Adventure dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge TobeyMaguire KirstenDunst JamesFranco ThomasHadenChurch TopherGrace SamRaimi
38757,Tangled,kingdom 's wantedand charmingbandit Flynn Rider hide mysterious tower he 's taken hostage Rapunzel beautiful feisty towerbound teen 70 foot magical golden hair Flynn 's curious captor who 's looking ticket tower locked away year strike deal handsome thief unlikely duo set actionpacked escapade complete supercop horse overprotective chameleon gruff gang pub thug Animation Family hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick ZacharyLevi MandyMoore DonnaMurphy RonPerlman MCGainey ByronHoward NathanGreno
99861,Avengers: Age of Ultron,Tony Stark try jumpstart dormant peacekeeping program thing go awry Earths Mightiest Heroes put ultimate test fate planet hang balance villainous Ultron emerges Avengers stop enacting terrible plan soon uneasy alliance unexpected action pave way epic unique global adventure Action Adventure ScienceFiction marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d RobertDowneyJr ChrisHemsworth MarkRuffalo ChrisEvans ScarlettJohansson JossWhedon
767,Harry Potter and the Half-Blood Prince,Harry begin sixth year Hogwarts discovers old book marked 'Property HalfBlood Prince ' begin learn Lord Voldemort 's dark past Adventure Fantasy Family witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf DanielRadcliffe RupertGrint EmmaWatson TomFelton MichaelGambon DavidYates
209112,Batman v Superman: Dawn of Justice,Fearing action godlike Super Hero left unchecked Gotham Citys formidable forceful vigilante take Metropoliss revered modernday savior world wrestle sort hero really need Batman Superman war one another new threat quickly arises putting mankind greater danger it ever known before Action Adventure Fantasy dccomics vigilante superhero basedoncomicbook revenge superpower clarkkent brucewayne dcextendeduniverse BenAffleck HenryCavill GalGadot AmyAdams JesseEisenberg ZackSnyder
1452,Superman Returns,Superman return discover 5year absence allowed Lex Luthor walk free closest felt abandoned moved on Luthor plot ultimate revenge could see million killed change face planet forever well ridding Man Steel Adventure Fantasy Action ScienceFiction savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpower superhumanstrength lexluthor BrandonRouth KevinSpacey KateBosworth JamesMarsden ParkerPosey BryanSinger
10764,Quantum of Solace,Quantum Solace continues adventure James Bond Casino Royale Betrayed Vesper woman loved 007 fight urge make latest mission personal Pursuing determination uncover truth Bond interrogate Mr White reveals organization blackmailed Vesper far complex dangerous anyone imagined Adventure Action Thriller Crime killing undercover secretagent britishsecretservice DanielCraig OlgaKurylenko MathieuAmalric JudiDench GiancarloGiannini MarcForster
58,Pirates of the Caribbean: Dead Man's Chest,Captain Jack Sparrow work way blood debt ghostly Davey Jones also attempt avoid eternal damnation Adventure Fantasy Action witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgård BillNighy GoreVerbinski
57201,The Lone Ranger,Texas Rangers chase gang outlaw led Butch Cavendish gang ambush Rangers seemingly killing all One survivor found however American Indian named Tonto nurse back health Ranger donning mask riding white stallion named Silver team Tonto bring unscrupulous gang others ilk justice Action Adventure Western texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto JohnnyDepp ArmieHammer WilliamFichtner HelenaBonhamCarter JamesBadgeDale GoreVerbinski
49521,Man of Steel,young boy learns extraordinary power earth young man journey discover came sent do hero must emerge save world annihilation become symbol hope mankind Action Adventure Fantasy ScienceFiction savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpower dcextendeduniverse HenryCavill AmyAdams MichaelShannon KevinCostner DianeLane ZackSnyder
2454,The Chronicles of Narnia: Prince Caspian,One year incredible adventure Lion Witch Wardrobe Peter Edmund Lucy Susan Pevensie return Narnia aid young prince whose life threatened evil King Miraz Now help colorful cast new character including Trufflehunter badger Nikabrik dwarf Pevensie clan embarks incredible quest ensure Narnia returned rightful heir Adventure Family Fantasy basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld BenBarnes WilliamMoseley AnnaPopplewell SkandarKeynes GeorgieHenley AndrewAdamson
24428,The Avengers,unexpected enemy emerges threatens global safety security Nick Fury director international peacekeeping agency known SHIELD find need team pull world back brink disaster Spanning globe daring recruitment effort begin ! ScienceFiction Action Adventure newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse RobertDowneyJr ChrisEvans MarkRuffalo ChrisHemsworth ScarlettJohansson JossWhedon
1865,Pirates of the Caribbean: On Stranger Tides,Captain Jack Sparrow cross path woman past he 's sure love ruthless con artist who 's using find fabled Fountain Youth force aboard Queen Anne 's Revenge ship formidable pirate Blackbeard Jack find unexpected adventure know fear more : Blackbeard woman past Adventure Action Fantasy sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d JohnnyDepp PenélopeCruz IanMcShane KevinMcNally GeoffreyRush RobMarshall
